phi theta x y z pt prodx prody prodz t pid
-0.47156 1.51455 30.16500 -2.37560 -54.31899 0.00309 25.01928 -7.04750 -147.50000 1.28168 11
-2.95760 1.38934 30.16500 0.11240 -53.69354 0.00309 25.01928 -7.04750 -147.50000 1.29960 11
-0.01210 1.93822 30.16500 -2.09179 -54.75096 0.00309 25.01928 -7.04750 -147.50000 1.31423 11
-3.02488 1.80797 30.16500 -0.10816 -56.17760 0.00309 25.01928 -7.04750 -147.50000 1.32809 11
-1.31740 0.84532 30.14000 -1.33281 -54.53246 0.00309 25.01928 -7.04750 -147.50000 1.34305 11
-0.82800 1.40472 30.16500 -2.37196 -53.76201 0.00309 25.01928 -7.04750 -147.50000 1.36293 11
-2.55992 1.03640 30.16500 -1.50592 -52.19755 0.00309 25.01928 -7.04750 -147.50000 1.37528 11
-0.29041 1.61604 30.16500 -2.23884 -52.85161 0.00309 25.01928 -7.04750 -147.50000 1.38977 11
-3.11413 1.44687 30.16506 -1.60916 -52.54720 0.00309 25.01928 -7.04750 -147.50000 1.39668 11
-2.23443 2.41030 30.14000 -1.78330 -55.10262 0.00309 25.01928 -7.04750 -147.50000 1.28420 11
1.27785 1.51983 30.14000 -2.09660 -54.46770 0.00309 25.01928 -7.04750 -147.50000 1.30191 11
1.27036 2.13155 30.15015 -1.96718 -54.50277 0.00309 25.01928 -7.04750 -147.50000 1.30255 11
-1.43160 1.35164 -10.86910 -28.14823 -64.43243 0.00571 -7.41676 -21.78858 -74.93000 0.42754 11
0.64989 1.53171 -3.78981 -31.08057 -63.06083 0.00571 -7.41676 -21.78858 -74.93000 0.45946 11
0.86444 1.42142 -2.76846 -30.16500 -62.91612 0.00571 -7.41676 -21.78858 -74.93000 0.46411 11
-1.42184 1.33496 -11.26478 -27.98434 -57.89735 0.00571 -7.41676 -21.78858 -74.93000 0.52990 11
1.21573 1.50492 -2.86861 -30.16500 -56.39230 0.00571 -7.41676 -21.78858 -74.93000 0.56965 11
-1.75948 1.48511 -10.25893 -28.40097 -54.69389 0.00571 -7.41676 -21.78858 -74.93000 0.61410 11
1.19088 1.80466 -1.31319 -30.16500 -54.66736 0.00571 -7.41676 -21.78858 -74.93000 0.65918 11
-1.39377 1.63528 -7.75929 -29.43636 -57.80545 0.00571 -7.41676 -21.78858 -74.93000 0.69964 11
